player1,player1_race,player2,player2_race,map,game_type,ladder,file,game_version,region,game_length,winrace,loser,loser_race,winner_name
OKOKOK,Terran,SpecialK,Protoss,Data-C,1v1,True,Data-C (6).SC2Replay,88500,us,0:11:52,Protoss,OKOKOK,Terran,SpecialK
dootlebob,Terran,ViBE,Zerg,Romanticide LE,1v1,True,Diamond 2 - ZvT - Game 1.SC2Replay,84643,us,0:20:16,Terran,ViBE,Zerg,dootlebob
KAT,Protoss,OKOKOK,Terran,Moondance,1v1,True,Moondance (7).SC2Replay,88500,us,0:07:17,Protoss,OKOKOK,Terran,KAT
OKOKOK,Terran,Yoda,Terran,Waterfall,1v1,True,Waterfall (17).SC2Replay,88500,us,0:05:51,Terran,Yoda,Terran,OKOKOK
OKOKOK,Zerg,Huey,Terran,Waterfall,1v1,True,Waterfall (11).SC2Replay,88500,us,0:10:38,Zerg,Huey,Terran,OKOKOK
ViBE,Zerg,SimpSarashna,Protoss,Lightshade LE,1v1,True,Diamond 1 - ZvP - Game 20.SC2Replay,84643,us,0:22:53,Protoss,ViBE,Zerg,SimpSarashna
HasuGosuSoju,Terran,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 10.SC2Replay,84643,us,0:04:48,Zerg,HasuGosuSoju,Terran,ViBE
ChocP,Terran,ViBE,Zerg,Blackburn LE,1v1,True,Diamond 1 - ZvT - Game 18.SC2Replay,84643,us,0:08:41,Terran,ViBE,Zerg,ChocP
OKOKOK,Terran,LeTongue,Terran,Cosmic Sapphire,1v1,True,Cosmic Sapphire (13).SC2Replay,88500,us,0:06:08,Terran,OKOKOK,Terran,LeTongue
Thos,Terran,OKOKOK,Terran,Stargazers,1v1,True,Stargazers (11).SC2Replay,88500,us,0:08:18,Terran,Thos,Terran,OKOKOK
ViBE,Zerg,Quarantino,Zerg,Blackburn LE,1v1,True,Diamond 2 - ZvZ - Game 22.SC2Replay,84643,us,0:05:22,Zerg,Quarantino,Zerg,ViBE
DroneKingPri,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 12.SC2Replay,84643,us,0:10:01,Zerg,DroneKingPri,Zerg,ViBE
SkiZzy,Protoss,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvP - Game 7.SC2Replay,84643,us,0:13:40,Zerg,SkiZzy,Protoss,ViBE
Prodigy,Zerg,OKOKOK,Protoss,Altitude LE,1v1,True,Doraste Altitude LE.SC2Replay,90136,us,0:08:45,Zerg,OKOKOK,Protoss,Prodigy
PenguinGamer,Terran,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 3 - ZvT - Game 17.SC2Replay,84643,us,0:09:03,Zerg,PenguinGamer,Terran,ViBE
ViBE,Zerg,Pholus,Zerg,Romanticide LE,1v1,True,Diamond 3 - ZvZ - Game 10.SC2Replay,84643,us,0:09:23,Zerg,Pholus,Zerg,ViBE
Teach,Terran,OKOKOK,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire.SC2Replay,88500,us,0:11:20,Zerg,Teach,Terran,OKOKOK
deadboltz,Protoss,OKOKOK,Terran,Tropical Sacrifice,1v1,True,Tropical Sacrifice (4).SC2Replay,88500,us,0:11:34,Terran,deadboltz,Protoss,OKOKOK
OKOKOK,Zerg,Young,Protoss,Data-C,1v1,True,Data-C (9).SC2Replay,88500,us,0:19:18,Protoss,OKOKOK,Zerg,Young
ViBE,Zerg,TTT,Terran,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 23.SC2Replay,84643,us,0:19:19,Zerg,TTT,Terran,ViBE
Bru,Terran,OKOKOK,Zerg,Moondance,1v1,True,Moondance (12).SC2Replay,88500,us,0:11:29,Zerg,Bru,Terran,OKOKOK
Basio,Protoss,OKOKOK,Zerg,Stargazers,1v1,True,Stargazers.SC2Replay,88500,us,0:07:46,Protoss,OKOKOK,Zerg,Basio
ViBE,Zerg,Powerhouse,Terran,Romanticide LE,1v1,True,Diamond 2 - ZvP - Game 16.SC2Replay,84643,us,0:29:17,Zerg,Powerhouse,Terran,ViBE
IIIIIIIII,Zerg,OKOKOK,Zerg,Data-C,1v1,True,Data-C (7).SC2Replay,88500,us,0:00:01,Zerg,IIIIIIIII,Zerg,OKOKOK
CANCERBERO,Zerg,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (2).SC2Replay,88500,us,0:13:45,Zerg,CANCERBERO,Zerg,OKOKOK
OKOKOK,Zerg,Lepsid,Terran,Cosmic Sapphire,1v1,True,Cosmic Sapphire (5).SC2Replay,88500,us,0:08:50,Terran,OKOKOK,Zerg,Lepsid
OKOKOK,Zerg,Doraste,Protoss,Glittering Ashes LE,1v1,False,Glittering Ashes LE.SC2Replay,86383,us,0:07:44,Zerg,Doraste,Protoss,OKOKOK
AboveThunder,Zerg,ViBE,Zerg,Beckett Industries LE,1v1,True,Diamond 2 - ZvZ - Game 12.SC2Replay,84643,us,0:10:38,Zerg,AboveThunder,Zerg,ViBE
BoB,Terran,OKOKOK,Zerg,Tropical Sacrifice,1v1,True,Tropical Sacrifice (11).SC2Replay,88500,us,0:11:14,Zerg,BoB,Terran,OKOKOK
Deathsauce,Protoss,OKOKOK,Zerg,Gresvan LE,1v1,True,Gresvan LE.SC2Replay,90136,us,0:04:31,Protoss,OKOKOK,Zerg,Deathsauce
Gnarborg,Terran,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvT - Game 2.SC2Replay,84643,us,0:14:45,Zerg,Gnarborg,Terran,ViBE
OKOKOK,Zerg,WagonWheel,Terran,Glittering Ashes LE,1v1,True,Glittering Ashes LE (4).SC2Replay,87702,us,0:14:41,Terran,OKOKOK,Zerg,WagonWheel
EventHorizon,Terran,OKOKOK,Terran,Glittering Ashes LE,1v1,True,Glittering Ashes LE (3).SC2Replay,87702,us,0:18:28,Terran,OKOKOK,Terran,EventHorizon
OKOKOK,Zerg,Damien,Zerg,Pride of Altaris LE,1v1,True,Pride of Altaris LE (2).SC2Replay,87702,us,0:04:14,Zerg,OKOKOK,Zerg,Damien
TTT,Terran,OKOKOK,Zerg,Inside and Out,1v1,True,Inside and Out.SC2Replay,88500,us,0:22:35,Zerg,TTT,Terran,OKOKOK
